definition,category,category_zh,age.75,age.50,age.25,age_rng,age.75.m,age.50.m,age.25.m,D
床,furniture_rooms,家具/房間,27.554016620498615,22.853658536585368,19,8|36,27.25341175,23.57489475,19.896378416666668,0.2990131475
桌子,furniture_rooms,家具/房間,27.394736842105264,22.737704918032787,19,8|36,27.136388166666666,23.65329983333333,20.170209833333335,0.3158206316666667
電話,household,家庭用品,22.17241379310345,18.636363636363637,13.861702127659576,8|36,22.435398333333332,19.06945075,15.703503166666666,0.326828995
電視,household,家庭用品,23.50819672131148,21.437956204379564,18.235294117647054,8|36,24.1628505,21.158831666666668,18.154814833333333,0.3662103175
藥,household,家庭用品,23.53090096798213,20,17.69633507853403,8|36,24.380987833333332,21.191674416666668,18.002360416666665,0.344967595
杯子,household,家庭用品,23.7265625,21,17.57037037037037,8|36,24.576984,21.34507,18.113152416666665,0.3403664158333333
牙刷,household,家庭用品,24.261904761904763,21.52173913043478,18.083333333333332,8|36,24.832038416666666,21.701332,18.570621916666667,0.3513634783333333
湯匙,household,家庭用品,24.84183673469388,22,18.529411764705884,8|36,25.195918083333332,22.144490083333334,19.093061833333334,0.360506705
錢,household,家庭用品,24.63953488372093,21,18.75,8|36,25.464446916666667,22.252312833333335,19.040179083333335,0.3424886466666667
碗,household,家庭用品,25.670376712328768,22.09433962264151,18.6875,8|36,26.298920333333335,23.05097975,19.803035916666666,0.33876993666666666
眼鏡,household,家庭用品,27.376506024096383,22.629820051413883,18.454545454545453,8|36,26.847541083333333,23.088234416666666,19.328930333333332,0.29263692166666666
鑰匙,household,家庭用品,25.683246073298427,21.923076923076923,18.764705882352946,8|36,26.719408166666668,23.103540666666667,19.487674916666666,0.3042638625
吸管,household,家庭用品,26.70408163265306,22.627240143369175,19.75,8|36,26.369380666666668,23.265043833333333,20.160706166666667,0.3543194358333333
毯子(被子),household,家庭用品,27.59171597633136,22.454545454545453,18.4,8|36,27.67483025,23.40045883333333,19.126088,0.2573490233333333
手機,household,家庭用品,27.482315112540192,22.77777777777778,18.7,8|36,27.245601,23.712408416666666,20.17921533333333,0.31134748916666666
衛生紙(面紙),household,家庭用品,27.19455252918288,23.275147928994084,18.933333333333337,8|36,26.896951916666666,23.830928,20.7649045,0.3588169275
好痛/痛痛的,descriptive_words,描述詞,23.44809461235217,19.666666666666668,16.794150521609538,8|36,23.684553666666666,20.44247775,17.200401666666668,0.3393363208333333
好燙/燙燙的,descriptive_words,描述詞,22.98130841121495,19.363636363636363,16.466309341500764,8|36,24.590790833333333,20.710446166666667,16.830098833333334,0.2834925775
好臭/臭臭的,descriptive_words,描述詞,25.29391891891892,18.894736842105264,16.893537074148295,8|36,25.134904,21.351624583333333,17.56834725,0.29078504083333334
好棒,descriptive_words,描述詞,24.825515947467167,21.3265306122449,17.678670360110804,8|36,26.161835416666666,21.54894925,16.936061583333334,0.2384532
濕濕的,descriptive_words,描述詞,27,21.73170731707317,18.875,8|36,26.072835416666667,22.983325333333333,19.893814333333335,0.35611265166666667
好熱/熱熱的,descriptive_words,描述詞,27.566037735849054,22.614035087719294,18.571428571428573,8|36,27.248689083333332,23.25089983333333,19.25311275,0.2751573841666667
害怕的(好恐怖),descriptive_words,描述詞,27.915750915750916,21.63157894736842,16.83653846153846,8|36,28.190196916666668,23.305321333333332,18.420442666666666,0.225237875
暗暗的,descriptive_words,描述詞,27.59171597633136,22.60229445506692,18.61904761904762,8|36,27.626298916666666,23.83328575,20.0402765,0.29004114833333333
這個,quantifiers,數量詞,25.632267441860463,21.17910447761194,18.125,8|36,26.653798833333333,22.267588416666666,17.881378333333334,0.25076416583333333
