definition,category,category_zh,age.75,age.50,age.25,n,age_distr_base,age_distr,age_distr_prob,age_rng
麵包,food_drink,食物/飲料,23.67391304347826,20.70212765957447,17.360294117647058,1392,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|1|1|3|12|23|20|24|36|33|48|59|77|94|89|72|78|87|78|88|83|74|82|71|80|79,0|0|0|0|1|1|4|11|14|23|29|43|39|55|61|73|76|81|83|85|87|89|94|94|90|96|92|99|98,8|36
蛋,food_drink,食物/飲料,23.772481040086674,20.862745098039216,17.604545454545455,1374,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|2|9|17|17|24|36|36|45|55|73|95|85|68|75|91|80|89|84|78|84|71|81|79,0|0|0|0|0|0|2|8|10|20|29|43|43|51|57|70|77|77|78|82|91|91|95|95|95|99|92|100|98,8|36
糖果,food_drink,食物/飲料,24.586666666666666,20.943699731903486,18.875,1309,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|1|0|0|0|1|3|7|14|12|14|22|26|45|55|71|89|85|70|78|92|75|83|84|74|80|69|81|78,0|1|0|0|0|1|4|7|8|14|17|26|31|51|57|68|72|77|80|85|92|85|88|95|90|94|90|100|96,8|36
養樂多,food_drink,食物/飲料,25.641927083333332,20.949640287769785,19.25,1235,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|0|0|3|13|17|20|24|45|55|61|87|74|69|72|86|70|84|81|68|81|66|81|78,0|0|0|0|0|0|0|0|2|15|20|24|29|51|57|58|70|67|79|78|86|80|89|92|83|95|86|100|96,8|36
蘋果,food_drink,食物/飲料,23.86390149060272,21.214285714285715,17.34090909090909,1367,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|1|0|1|1|9|14|18|28|41|39|43|52|68|95|86|73|77|89|78|87|82|76|82|70|79|78,0|0|0|1|0|1|1|8|8|21|33|49|46|49|54|65|77|78|84|84|89|89|93|93|93|96|91|98|96,8|36
肉,food_drink,食物/飲料,24.914127423822716,21.685714285714287,18.2,1269,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|0|6|8|12|18|33|25|36|52|67|87|83|67|71|85|77|86|80|71|81|70|80|74,0|0|0|0|0|0|0|6|5|14|21|39|30|41|54|64|70|75|77|77|85|88|91|91|87|95|91|99|91,8|36
布丁,food_drink,食物/飲料,26.20909090909091,21.845070422535212,18.142857142857142,1267,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|1|0|1|1|5|11|14|20|27|25|39|49|64|78|81|65|70|85|78|82|81|76|81|73|80|80,0|0|0|1|0|1|1|5|6|16|24|32|30|44|51|61|63|74|75|76|85|89|87|92|93|95|95|99|99,8|36
草莓,food_drink,食物/飲料,27.42016806722689,22,18.666666666666668,1193,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|1|0|4|5|12|19|22|28|35|48|59|79|72|60|65|81|73|80|78|70|80|68|79|75,0|0|0|0|0|1|0|4|3|14|23|26|33|40|50|56|64|65|69|71|81|83|85|89|85|94|88|98|93,8|36
蔬菜,food_drink,食物/飲料,27.928792569659443,22,20.367892976588628,1025,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|1|4|10|8|10|20|16|31|48|51|63|63|51|57|76|57|69|65|51|76|62|69|67,0|0|0|0|0|0|1|4|6|9|12|24|19|35|50|49|51|57|59|62|76|65|73|74|62|89|81|85|83,8|36
湯,food_drink,食物/飲料,25.29391891891892,22.207920792079207,17.46951219512195,1278,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|1|2|8|13|19|24|25|32|37|45|65|86|80|70|70|86|67|83|83|78|80|68|78|78,0|0|0|0|0|1|2|8|8|22|29|30|38|42|47|62|69|73|80|76|86|76|88|94|95|94|88|96|96,8|36
葡萄,food_drink,食物/飲料,26.372972972972974,22.39149888143177,18.25,1197,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|1|1|5|6|9|19|27|24|37|43|61|78|72|63|73|81|69|79|76|74|78|71|77|73,0|0|0|0|0|1|1|5|4|10|23|32|29|42|45|58|63|65|72|79|81|78|84|86|90|92|92|95|90,8|36
蛋糕,food_drink,食物/飲料,25.887755102040817,22.45691906005222,19.444444444444443,1206,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|1|0|1|4|9|11|17|17|26|28|43|59|79|75|66|68|78|76|81|80|76|82|70|81|78,0|0|0|0|1|0|1|4|5|13|20|20|31|32|45|56|64|68|76|74|78|86|86|91|93|96|91|100|96,8|36
玉米,food_drink,食物/飲料,26.69203539823009,22.84,19.666666666666668,1156,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|0|0|2|9|9|17|23|35|36|55|75|70|61|71|85|73|83|79|70|80|68|78|77,0|0|0|0|0|0|0|0|1|10|11|20|27|40|38|52|60|64|70|77|85|83|88|90|85|94|88|96|95,8|36
西瓜,food_drink,食物/飲料,27.23696682464455,23.37125748502994,19.571428571428573,1125,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|0|4|4|7|11|17|24|29|39|51|65|71|55|67|82|73|77|77|71|80|68|77|76,0|0|0|0|0|0|0|4|2|8|13|20|29|33|41|49|52|65|63|73|82|83|82|88|87|94|88|95|94,8|36
紅(白)蘿蔔,food_drink,食物/飲料,32.13171487603306,23.71506105834464,20.16,991,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|0|3|5|8|15|16|19|33|32|44|66|55|47|51|65|60|69|65|60|74|60|73|71,0|0|0|0|0|0|0|3|3|9|18|19|23|38|33|42|53|50|54|55|65|68|73|74|73|87|78|90|88,8|36
巧克力,food_drink,食物/飲料,27.844594594594593,24.380476556495005,20.904109589041095,1058,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|0|0|0|6|5|8|12|23|32|47|53|68|57|64|76|72|78|79|74|80|69|80|75,0|0|0|0|0|0|0|0|0|7|6|10|14|26|33|45|43|62|66|70|76|82|83|90|90|94|90|99|93,8|36
冰淇淋,food_drink,食物/飲料,28.46808510638298,24.726872246696036,21.52173913043478,1017,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|1|0|0|2|3|9|4|8|12|20|26|45|56|57|50|62|72|69|74|78|67|80|69|79|74,0|0|0|0|1|0|0|2|2|10|5|10|14|23|27|43|45|52|57|67|72|78|79|89|82|94|90|98|91,8|36
薯條,food_drink,食物/飲料,30.353211009174313,25,21,940,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|0|0|0|3|4|10|12|22|23|39|53|55|44|50|70|64|67|72|61|77|64|75|75,0|0|0|0|0|0|0|0|0|3|5|12|14|25|24|37|43|50|51|54|70|73|71|82|74|91|83|93|93,8|36
柳丁,food_drink,食物/飲料,31.722921914357684,25,22.19774011299435,880,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|1|0|1|3|4|5|4|14|16|17|20|44|45|55|39|39|64|54|65|59|64|75|57|66|69,0|0|0|0|1|0|1|3|2|6|5|17|19|19|21|42|36|50|45|42|64|61|69|67|78|88|74|81|85,8|36
橘子,food_drink,食物/飲料,32.267857142857146,25,21.685714285714287,894,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|0|0|1|3|10|15|14|20|25|40|53|55|42|47|62|58|61|63|60|68|62|71|64,0|0|0|0|0|0|0|0|1|3|12|18|17|23|26|38|43|50|48|51|62|66|65|72|73|80|81|88|79,8|36
糖,food_drink,食物/飲料,31.554054054054053,25.195725534308213,20.544891640866872,952,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|0|0|1|9|10|11|13|29|42|46|56|53|50|46|72|52|67|64|63|70|55|74|69,0|0|0|0|0|0|0|0|1|10|12|13|15|33|44|44|45|48|57|50|72|59|71|73|77|82|71|91|85,8|36
芭樂,food_drink,食物/飲料,31.38317757009346,25.327375352775164,20.807339449541285,937,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|0|5|2|5|11|16|17|23|25|41|54|51|50|51|68|56|62|65|63|73|58|74|67,0|0|0|0|0|0|0|5|1|6|13|19|20|26|26|39|44|46|57|55|68|64|66|74|77|86|75|91|83,8|36
水果,food_drink,食物/飲料,31,25.46317657497782,21.685714285714287,911,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|1|5|4|1|9|13|7|16|27|36|51|49|49|49|70|56|64|66|61|75|59|72|71,0|0|0|0|0|0|1|5|2|1|11|15|8|18|28|34|41|45|56|53|70|64|68|75|74|88|77|89|88,8|36
茶,food_drink,食物/飲料,31,25.55163043478261,21.352941176470587,873,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|0|0|2|9|12|14|14|20|28|39|45|48|48|52|58|55|59|66|56|66|52|66|64,0|0|0|0|0|0|0|0|1|10|14|17|17|23|29|37|36|44|55|57|58|62|63|75|68|78|68|81|79,8|36
果汁,food_drink,食物/飲料,30.34494773519164,25.759825327510917,20.904109589041095,978,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|1|1|4|4|5|7|12|12|23|30|43|58|53|44|55|62|64|66|74|68|76|65|78|73,0|0|0|0|0|1|1|4|2|6|8|14|14|26|31|41|47|48|51|60|62|73|70|84|83|89|84|96|90,8|36
水餃,food_drink,食物/飲料,31.788461538461537,26.592505854800937,22,841,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|0|0|0|0|5|6|2|15|24|30|44|41|38|50|62|60|66|64|62|72|53|76|71,0|0|0|0|0|0|0|0|0|0|6|7|2|17|25|29|35|37|44|54|62|68|70|73|76|85|69|94|88,8|36
葡萄乾,food_drink,食物/飲料,34.182432432432435,26.70408163265306,20.63583815028902,860,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|0|1|1|3|6|12|16|25|24|45|50|50|39|48|62|51|59|61|59|63|56|69|60,0|0|0|0|0|0|0|1|1|3|7|14|19|28|25|43|40|45|45|52|62|58|63|69|72|74|73|85|74,8|36
稀飯,food_drink,食物/飲料,31.953488372093023,27,21.79245283018868,886,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|2|1|1|1|1|3|13|13|7|13|19|14|15|26|36|42|48|42|46|63|44|60|55|62|70|54|69|66,0|3|1|1|1|1|4|12|8|8|15|23|17|17|27|34|34|44|48|50|63|50|64|62|76|82|70|85|81,8|36
棒棒糖,food_drink,食物/飲料,32.47047970479705,27,22.10086455331412,810,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|0|0|0|6|3|5|9|13|23|36|38|45|34|46|54|46|67|62|57|69|56|74|67,0|0|0|0|0|0|0|0|0|7|4|6|11|15|24|34|31|41|39|50|54|52|71|70|70|81|73|91|83,8|36
果凍,food_drink,食物/飲料,32.56205493387589,27,22.532994923857867,808,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|0|0|1|2|7|7|10|12|18|32|44|41|36|46|62|47|62|62|55|69|57|67|71,0|0|0|0|0|0|0|0|1|2|8|8|12|14|19|30|35|37|41|50|62|53|66|70|67|81|74|83|88,8|36
饅頭,food_drink,食物/飲料,32.935534591194966,27.228658536585368,22.289256198347108,804,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|1|4|4|5|6|10|11|14|20|37|44|44|36|43|61|44|51|60|58|64|56|70|61,0|0|0|0|0|0|1|4|2|6|7|12|13|16|21|35|35|40|41|47|61|50|54|68|71|75|73|86|75,8|36
豆漿,food_drink,食物/飲料,32.335232252410165,27.3257328990228,22.897435897435898,808,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|1|0|0|2|3|0|3|5|10|17|18|27|48|47|34|38|68|54|58|51|57|73|57|71|66,0|0|0|0|1|0|0|2|2|0|4|6|12|19|19|26|39|43|39|41|68|61|62|58|70|86|74|88|81,8|36
蕃茄,food_drink,食物/飲料,31,27.325732899022803,21.466019417475728,891,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|0|2|2|3|5|13|10|18|29|42|54|50|41|42|59|54|67|66|60|73|57|76|68,0|0|0|0|0|0|0|2|1|3|6|15|12|20|30|40|44|45|47|46|59|61|71|75|73|86|74|94|84,8|36
飲料,food_drink,食物/飲料,32.61721991701245,27.325732899022803,22.74468085106383,800,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|0|4|2|7|7|8|12|18|22|27|43|39|36|42|59|47|56|57|58|66|59|66|65,0|0|0|0|0|0|0|4|1|8|8|10|14|20|23|26|35|35|41|46|59|53|60|65|71|78|77|81|80,8|36
土司,food_drink,食物/飲料,32.46052631578947,27.42016806722689,22.76086956521739,772,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|1|7|8|3|1|10|7|16|16|29|42|39|32|44|53|42|58|54|58|68|54|66|64,0|0|0|0|0|0|1|7|5|3|1|12|8|18|17|28|34|35|37|48|53|48|62|61|71|80|70|81|79,8|36
汽水,food_drink,食物/飲料,34.56605049594229,27.644329896907216,22.76086956521739,706,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|1|0|1|3|2|5|5|5|13|16|29|28|25|31|36|56|45|51|55|59|60|50|67|63,0|0|0|0|0|1|0|1|2|2|6|6|6|15|17|28|23|23|36|39|56|51|54|62|72|71|65|83|78,8|36
包子,food_drink,食物/飲料,32.82221480987325,27.709779179810724,22.789473684210527,696,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|0|0|0|2|5|5|8|14|18|28|43|37|34|37|54|38|46|49|47|67|50|57|57,0|0|0|0|0|0|0|0|0|2|6|6|10|16|19|27|35|34|39|40|54|43|49|56|57|79|65|70|70,8|36
花生,food_drink,食物/飲料,32.861486486486484,27.8130081300813,22.487465181058496,737,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|0|0|2|0|4|7|5|11|19|32|37|35|36|34|53|46|55|60|54|65|55|61|66,0|0|0|0|0|0|0|0|1|0|5|8|6|12|20|30|30|32|41|37|53|52|59|68|66|76|71|75|81,8|36
櫻桃,food_drink,食物/飲料,40,27.883838383838384,22.532994923857867,685,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|0|3|1|2|6|7|10|12|18|32|36|31|31|32|52|43|52|47|55|57|49|60|49,0|0|0|0|0|0|0|3|1|2|7|8|12|14|19|30|29|28|36|35|52|49|55|53|67|67|64|74|60,8|36
雞肉,food_drink,食物/飲料,32.67460317460318,28,23.12863070539419,686,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|0|0|0|2|3|3|5|8|20|26|33|35|34|37|50|36|50|53|55|67|51|62|56,0|0|0|0|0|0|0|0|0|2|4|4|6|9|21|25|27|32|39|40|50|41|53|60|67|79|66|77|69,8|36
木瓜,food_drink,食物/飲料,32.63523131672598,28.127906976744185,22.52870090634441,781,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|0|0|0|2|6|11|16|17|14|36|34|51|38|40|49|50|52|60|51|70|55|66|63,0|0|0|0|0|0|0|0|0|2|7|13|19|19|15|34|27|46|44|43|49|57|55|68|62|82|71|81|78,8|36
漢堡,food_drink,食物/飲料,32.626626192541195,28.305555555555557,23.46969696969697,702,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|0|0|0|1|3|3|3|10|14|24|34|28|29|32|46|52|52|62|53|69|52|69|66,0|0|0|0|0|0|0|0|0|1|4|4|4|11|15|23|27|25|33|35|46|59|55|70|65|81|68|85|81,8|36
披薩,food_drink,食物/飲料,40,28.664429530201343,25.57236842105263,620,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|0|0|0|1|1|3|4|10|12|19|28|22|25|31|41|48|51|56|43|60|49|59|57,0|0|0|0|0|0|0|0|0|1|1|4|5|11|12|18|23|20|29|34|41|55|54|64|52|71|64|73|70,8|36
甜甜圈,food_drink,食物/飲料,34.25961538461539,29,23.508196721311474,701,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|0|0|0|2|2|6|8|8|14|21|37|25|28|40|46|44|59|57|55|63|56|66|64,0|0|0|0|0|0|0|0|0|2|2|7|10|9|15|20|30|23|32|43|46|50|63|65|67|74|73|81|79,8|36
香腸,food_drink,食物/飲料,32.97754654983571,29.348148148148148,25.070048309178745,647,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|0|0|0|0|0|4|4|5|17|21|24|27|27|32|47|41|53|56|51|64|48|66|60,0|0|0|0|0|0|0|0|0|0|0|5|5|6|18|20|19|25|31|35|47|47|56|64|62|75|62|81|74,8|36
三明治,food_drink,食物/飲料,32.98837209302326,29.61572052401747,25.95362563237774,554,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|0|0|1|1|2|1|1|5|9|14|18|21|22|29|33|38|51|51|41|64|40|56|56,0|0|0|0|0|0|0|0|1|1|2|1|1|6|9|13|15|19|25|32|33|43|54|58|50|75|52|69|69,8|36
蛋餅,food_drink,食物/飲料,40,29.762162162162163,26.235724743777453,574,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|0|0|1|0|2|3|3|5|6|22|26|25|20|29|38|32|51|41|45|60|49|59|57,0|0|0|0|0|0|0|0|1|0|2|4|4|6|6|21|21|23|23|32|38|36|54|47|55|71|64|73|70,8|36
奶茶,food_drink,食物/飲料,35.55,30.085603112840467,25.394430051813472,627,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|0|0|1|2|2|1|1|8|9|23|29|24|26|36|46|41|46|54|52|54|51|58|63,0|0|0|0|0|0|0|0|1|2|2|1|1|9|9|22|23|22|30|39|46|47|49|61|63|64|66|72|78,8|36
咖啡,food_drink,食物/飲料,32.918,30.21103117505995,23.83386075949367,648,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|0|0|0|3|3|1|8|11|14|22|32|27|23|38|44|42|43|58|48|65|49|61|56,0|0|0|0|0|0|0|0|0|3|4|1|10|12|15|21|26|25|26|41|44|48|46|66|59|76|64|75|69,8|36
爆米花,food_drink,食物/飲料,34.90046535677352,30.237837837837837,26.080985915492956,543,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|0|0|0|0|2|1|3|4|7|15|24|16|21|32|41|31|46|47|39|54|47|62|51,0|0|0|0|0|0|0|0|0|0|2|1|4|5|7|14|19|15|24|35|41|35|49|53|48|64|61|77|63,8|36
雞塊,food_drink,食物/飲料,40,30.4125,26.56930693069307,551,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|0|0|0|1|1|3|0|7|12|19|17|20|18|26|36|33|44|48|42|58|50|56|60,0|0|0|0|0|0|0|0|0|1|1|4|0|8|12|18|14|18|21|28|36|38|47|55|51|68|65|69|74,8|36
可樂,food_drink,食物/飲料,40,30.692005242463956,25.69805743243243,588,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|0|0|1|1|2|1|4|10|14|20|24|18|25|32|45|40|35|49|43|60|48|57|59,0|0|0|0|0|0|0|0|1|1|2|1|5|11|15|19|19|16|29|35|45|45|37|56|52|71|62|70|73,8|36
冰棒,food_drink,食物/飲料,40,30.737430167597765,25.945652173913043,547,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|0|0|1|4|0|3|5|2|14|15|26|22|22|30|39|33|41|46|38|56|44|59|47,0|0|0|0|0|0|0|0|1|5|0|4|6|2|15|14|21|20|25|33|39|38|44|52|46|66|57|73|58,8|36
蕃茄醬,food_drink,食物/飲料,40,30.823970037453183,27.42016806722689,451,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|0|0|0|0|0|0|0|4|9|12|17|17|15|21|28|28|37|46|32|53|41|51|40,0|0|0|0|0|0|0|0|0|0|0|0|0|5|9|11|14|15|17|23|28|32|39|52|39|62|53|63|49,8|36
醬油,food_drink,食物/飲料,35.975,30.89390519187359,25.646039603960396,555,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|0|0|1|0|0|0|5|7|7|20|23|20|25|26|44|36|38|45|45|53|48|51|61,0|0|0|0|0|0|0|0|1|0|0|0|6|8|7|19|19|18|29|28|44|41|40|51|55|62|62|63|75,8|36
豆子,food_drink,食物/飲料,40,31,24,541,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|0|0|0|1|2|7|3|12|17|24|31|26|25|24|36|35|38|44|34|50|42|47|43,0|0|0|0|0|0|0|0|0|1|2|8|4|14|18|23|25|24|29|26|36|40|40|50|41|59|55|58|53,8|36
口香糖,food_drink,食物/飲料,40,31.38317757009346,25.63403041825095,523,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|0|0|1|1|0|0|1|2|8|17|21|16|27|25|31|36|41|42|44|57|44|53|56,0|0|0|0|0|0|0|0|1|1|0|0|1|2|8|16|17|15|31|27|31|41|44|48|54|67|57|65|69,8|36
梨子,food_drink,食物/飲料,40,32.06671899529042,24.87649402390438,565,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|0|1|1|2|4|5|4|7|12|23|19|29|24|24|48|37|43|39|40|57|43|54|49,0|0|0|0|0|0|0|1|1|2|5|6|5|8|12|22|15|26|28|26|48|42|46|44|49|67|56|67|60,8|36
檸檬,food_drink,食物/飲料,40,32.164888457807955,25.825949367088608,494,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|0|0|1|0|2|4|4|7|9|17|16|26|22|24|34|27|37|40|39|53|43|47|42,0|0|0|0|0|0|0|0|1|0|2|5|5|8|9|16|13|24|25|26|34|31|39|45|48|62|56|58|52,8|36
奇異果,food_drink,食物/飲料,40,32.17913593256059,24.92548076923077,520,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|0|0|0|1|1|3|4|6|8|20|24|28|25|23|32|32|39|43|39|52|44|54|42,0|0|0|0|0|0|0|0|0|1|1|4|5|7|8|19|19|25|29|25|32|36|41|49|48|61|57|67|52,8|36
果醬,food_drink,食物/飲料,40,32.32786885245902,26.56930693069307,469,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|0|0|0|0|1|1|2|4|7|14|20|17|18|26|28|27|36|40|37|51|42|55|43,0|0|0|0|0|0|0|0|0|0|1|1|2|5|7|13|16|15|21|28|28|31|38|45|45|60|55|68|53,8|36
點心,food_drink,食物/飲料,40,32.35099793530626,27.432098765432098,446,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|0|0|0|0|1|3|0|3|6|11|15|18|13|16|35|26|38|42|35|54|40|49|41,0|0|0|0|0|0|0|0|0|0|1|4|0|3|6|10|12|16|15|17|35|30|40|48|43|64|52|60|51,8|36
起司(乳酪),food_drink,食物/飲料,40,32.60322580645161,24,443,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|0|0|1|2|1|1|5|6|11|12|31|18|17|20|26|32|35|39|30|50|39|32|35,0|0|0|0|0|0|0|0|1|2|1|1|6|7|11|11|25|16|20|22|26|36|37|44|37|59|51|40|43,8|36
火腿,food_drink,食物/飲料,40,32.67460317460318,29,368,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|0|0|0|0|0|1|0|1|5|11|13|13|11|14|20|22|28|33|28|49|35|41|43,0|0|0|0|0|0|0|0|0|0|0|1|0|1|5|10|10|12|13|15|20|25|30|38|34|58|45|51|53,8|36
