definition,category,category_zh,age.75,age.50,age.25,n,age_distr_base,age_distr,age_distr_prob,age_rng
舅舅,people,人物,25.199846860643184,19.5,16.416752977731747,1349,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|2|0|4|11|12|24|35|21|40|44|55|62|72|88|81|70|73|82|77|76|78|68|69|65|72|68,0|0|0|3|0|5|14|11|14|40|25|48|52|62|65|69|71|74|80|79|82|88|81|89|83|81|84|89|84,8|36
伯伯,people,人物,27.352112676056336,19.714285714285715,16.733734939759035,1239,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|1|4|6|6|25|25|19|37|44|50|51|61|79|78|58|65|83|74|75|65|65|70|62|67|69,0|0|0|0|1|5|7|6|15|29|23|44|52|57|53|58|64|71|67|71|83|84|80|74|79|82|81|83|85,8|36
叔叔,people,人物,25.404024767801857,20.230366492146597,16.730410447761194,1337,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|1|1|2|8|10|20|26|31|40|40|51|59|73|90|81|67|65|83|77|81|79|66|74|65|72|75,0|0|0|1|1|3|10|9|12|30|37|48|48|58|61|70|73|74|77|71|83|88|86|90|80|87|84|89|93,8|36
外婆,people,人物,29.74015748031496,20.411214953271028,16.169921875,1238,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|4|4|8|20|17|38|33|24|35|40|47|55|60|68|73|61|59|73|62|72|64|56|71|62|67|65,0|0|0|5|5|10|25|16|22|38|29|42|48|53|57|57|55|66|70|64|73|70|77|73|68|84|81|83|80,8|36
外公,people,人物,33.32785888077859,22,16.630434782608695,1105,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|2|3|7|10|14|25|27|16|29|36|34|48|50|65|67|60|51|68|58|66|63|56|62|61|65|62,0|0|0|3|4|9|12|13|15|31|19|35|43|39|50|48|52|61|69|55|68|66|70|72|68|73|79|80|77,8|36
家人的名字,people,人物,27.520833333333332,22.665399239543728,18.714285714285715,1160,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|2|1|4|4|8|9|11|25|26|31|38|58|70|75|57|67|77|71|76|78|74|76|66|77|79,0|0|0|0|2|1|5|4|5|10|13|30|31|35|40|55|56|68|66|73|77|81|81|89|90|89|86|95|98,8|36
我,people,人物,27.520833333333332,23.316914498141262,19.333333333333332,1180,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|1|0|2|3|14|9|14|20|23|32|39|47|76|71|64|64|80|77|85|78|72|80|71|79|79,0|0|0|0|1|0|2|3|8|10|17|24|27|36|41|45|61|65|74|70|80|88|90|89|88|94|92|98|98,8|36
我的,people,人物,27.482315112540192,23.452554744525546,21.16551724137931,1119,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|1|0|3|2|11|4|8|15|15|20|35|49|67|62|61|63|82|75|85|79|73|81|69|79|80,0|0|0|0|1|0|4|2|6|5|10|18|18|23|36|47|54|56|70|68|82|85|90|90|89|95|90|98|99,8|36
你,people,人物,28.358974358974358,24.164670658682635,21.73170731707317,1040,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|1|0|1|1|8|7|7|16|18|17|26|43|60|64|55|55|68|77|74|74|71|79|63|77|78,0|0|0|0|1|0|1|1|5|8|8|19|21|19|27|41|48|58|63|60|68|88|79|84|87|93|82|95|96,8|36
**人的,people,人物,30.438247011952193,24.697560975609758,21.098360655737704,929,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|0|0|3|3|6|13|13|21|34|40|49|60|47|55|65|58|68|69|59|73|56|69|68,0|0|0|0|0|0|0|0|2|3|7|15|15|24|35|38|40|55|54|60|65|66|72|78|72|86|73|85|84,8|36
你的,people,人物,29.810344827586206,25.22336328626444,22.535168195718654,907,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|1|0|2|1|6|1|4|9|10|5|19|31|45|53|49|47|66|64|71|69|65|77|60|75|77,0|0|0|0|1|0|2|1|4|1|5|11|12|6|20|30|36|48|56|51|66|73|76|78|79|91|78|93|95,8|36
