ID,item.WG,item.WS,definition,category,age.70,age.50,age.30,n,bin,age_distr,age_distr_prob
288,d14_34,a15_34,笑,action_words,27.793599999999998,25.436842105263157,22.29167138810198,1029,24~30,2|4|6|6|5|8|13|19|19|9|8|15|16|20|23|43|52|47|48|54|69|63|68|67|61|77|63|75|69,3|6|8|8|7|11|17|19|12|11|10|19|20|23|24|43|44|44|58|63|72|77|82|81|80|93|88|95|93
609,NA,a15_70,喜歡,action_words,29.32824858757062,25.467838196286472,22.147577639751553,890,24~30,0|0|0|0|0|0|0|0|1|4|5|9|9|17|27|37|48|45|49|51|66|56|61|65|62|78|64|72|64,0|0|0|0|0|0|0|0|1|5|6|11|11|20|29|37|40|42|59|59|69|68|73|78|82|94|89|91|86
292,d14_38,a15_38,爬,action_words,29.0435124508519,25.590262582056894,22.02004048582996,977,24~30,0|3|6|6|3|7|10|17|11|12|7|15|13|15|28|40|56|47|45|54|66|57|67|65|56|72|62|69|68,0|4|8|8|4|9|13|17|7|15|9|19|16|17|30|40|47|44|54|63|69|70|81|78|74|87|86|87|92
295,d14_41,a15_42,餵,action_words,27.919626168224298,25.624373119358076,22.56413407821229,920,24~30,0|1|0|1|2|5|8|10|8|3|4|12|12|17|18|38|46|46|45|52|68|59|62|71|58|71|59|75|69,0|1|0|1|3|7|11|10|5|4|5|15|15|20|19|38|39|43|54|60|71|72|75|86|76|86|82|95|93
300,d14_46,a15_47,拉,action_words,29.533138686131387,25.69943820224719,22.465040650406504,883,24~30,0|1|1|3|0|4|4|10|7|5|7|14|17|17|23|36|49|46|44|45|62|53|62|64|52|67|55|71|64,0|1|1|4|0|5|5|10|4|6|9|18|21|20|24|36|41|43|53|52|65|65|75|77|68|81|76|90|86
298,d14_44,a15_45,搖,action_words,29.175661375661374,25.795019157088124,22.508955223880598,897,24~30,0|1|3|8|0|6|8|18|13|2|4|14|14|22|22|36|44|41|44|44|66|57|60|61|56|72|55|63|63,0|1|4|11|0|8|11|18|8|2|5|18|17|25|23|36|37|38|53|51|69|70|72|73|74|87|76|80|85
297,d14_43,a15_44,敲,action_words,29.833547008547008,25.795019157088124,22.37731397459165,873,24~30,0|1|3|5|1|5|11|17|17|8|6|19|13|20|24|37|41|46|43|44|56|48|60|56|49|67|58|64|54,0|1|4|7|1|7|15|17|11|10|8|24|16|23|26|37|34|43|52|51|58|59|72|67|64|81|81|81|73
604,NA,a15_65,煮,action_words,29.734610303830912,25.88233137829912,23.58890784982935,772,24~30,0|0|0|0|0|0|0|0|1|12|4|11|13|11|23|21|43|39|43|51|61|44|63|57|46|61|52|63|53,0|0|0|0|0|0|0|0|1|15|5|14|16|13|24|21|36|36|52|59|64|54|76|69|61|73|72|80|72
291,d14_37,a15_37,摸,action_words,29.64083147735709,26.079482439926064,22.288787602552414,909,24~30,1|0|1|6|1|4|6|13|13|8|8|15|18|22|25|38|51|47|41|49|62|47|64|60|51|68|55|70|65,1|0|1|8|1|5|8|13|8|10|10|19|22|25|27|38|43|44|49|57|65|57|77|72|67|82|76|89|88
599,NA,a15_40,寫,action_words,27.898023715415018,26.147260273972602,22.264503816793894,893,24~30,0|0|0|0|0|0|0|0|2|11|6|17|16|24|24|42|48|48|41|46|69|58|62|58|58|67|58|72|66,0|0|0|0|0|0|0|0|1|14|8|21|20|28|26|42|40|45|49|53|72|71|75|70|76|81|81|91|89
