definition,category,category_zh,age.75,age.50,age.25,n,age_distr_base,age_distr,age_distr_prob,age_rng
彩色筆,toys,玩具,16,16,16,70,86|79|78|79|80|78|81|106|90,9|15|1|5|2|5|4|13|16,10|19|1|6|2|6|5|12|18,8|16
鞋子,clothing,衣物,8,8,8,444,86|79|78|79|80|78|81|106|90,65|68|20|29|38|39|49|77|59,76|86|26|37|48|50|60|73|66,8|16
尿布,clothing,衣物,8.325907590759076,8,8,530,86|79|78|79|80|78|81|106|90,62|64|43|44|54|48|63|84|68,72|81|55|56|68|62|78|79|76,8|16
襪子,clothing,衣物,16,8,8,333,86|79|78|79|80|78|81|106|90,49|51|21|19|24|30|34|62|43,57|65|27|24|30|38|42|58|48,8|16
帽子,clothing,衣物,16,8,8,337,86|79|78|79|80|78|81|106|90,49|50|24|21|24|32|33|63|41,57|63|31|27|30|41|41|59|46,8|16
褲子,clothing,衣物,16,8.423592493297587,8,319,86|79|78|79|80|78|81|106|90,37|47|21|21|24|26|39|58|46,43|59|27|27|30|33|48|55|51,8|16
衣物,clothing,衣物,16,14.714956011730205,8,282,86|79|78|79|80|78|81|106|90,31|39|21|19|18|20|29|59|46,36|49|27|24|22|26|36|56|51,8|16
圍兜(兜),clothing,衣物,16,16,8,196,86|79|78|79|80|78|81|106|90,23|26|16|12|12|15|24|40|28,27|33|21|15|15|19|30|38|31,8|16
夾克(外套),clothing,衣物,16,16,8,148,86|79|78|79|80|78|81|106|90,23|26|10|7|5|12|12|30|23,27|33|13|9|6|15|15|28|26,8|16
拖鞋,clothing,衣物,16,16,14.973887814313347,111,86|79|78|79|80|78|81|106|90,19|15|5|6|5|8|6|27|20,22|19|6|8|6|10|7|25|22,8|16
拉鍊,clothing,衣物,16,16,16,104,86|79|78|79|80|78|81|106|90,15|15|7|6|4|10|8|24|15,17|19|9|8|5|13|10|23|17,8|16
扣子,clothing,衣物,16,16,16,100,86|79|78|79|80|78|81|106|90,16|10|7|7|8|10|8|19|15,19|13|9|9|10|13|10|18|17,8|16
背心,clothing,衣物,16,16,16,100,86|79|78|79|80|78|81|106|90,12|15|4|10|5|9|9|23|13,14|19|5|13|6|12|11|22|14,8|16
手套,clothing,衣物,16,16,16,67,86|79|78|79|80|78|81|106|90,7|7|5|6|2|7|7|16|10,8|9|6|8|2|9|9|15|11,8|16
長褲,clothing,衣物,16,16,16,77,86|79|78|79|80|78|81|106|90,9|11|3|7|4|8|7|14|14,10|14|4|9|5|10|9|13|16,8|16
短褲,clothing,衣物,16,16,16,65,86|79|78|79|80|78|81|106|90,9|10|2|6|3|7|5|11|12,10|13|3|8|4|9|6|10|13,8|16
裙子,clothing,衣物,16,16,16,57,86|79|78|79|80|78|81|106|90,4|4|4|5|2|8|6|15|9,5|5|5|6|2|10|7|14|10,8|16
手,body_parts,身體部位,8,8,8,544,86|79|78|79|80|78|81|106|90,69|69|44|44|49|58|57|84|70,80|87|56|56|61|74|70|79|78,8|16
眼睛,body_parts,身體部位,16,8,8,343,86|79|78|79|80|78|81|106|90,45|53|22|19|23|34|37|63|47,52|67|28|24|29|44|46|59|52,8|16
耳朵,body_parts,身體部位,16,8,8,346,86|79|78|79|80|78|81|106|90,43|53|21|17|25|38|43|58|48,50|67|27|22|31|49|53|55|53,8|16
嘴巴,body_parts,身體部位,16,8,8,417,86|79|78|79|80|78|81|106|90,50|55|32|30|37|40|44|73|56,58|70|41|38|46|51|54|69|62,8|16
腳,body_parts,身體部位,16,8,8,391,86|79|78|79|80|78|81|106|90,57|51|30|25|28|36|42|64|58,66|65|38|32|35|46|52|60|64,8|16
頭,body_parts,身體部位,16,8,8,319,86|79|78|79|80|78|81|106|90,45|47|21|16|21|30|31|61|47,52|59|27|20|26|38|38|58|52,8|16
鼻子,body_parts,身體部位,16,8,8,325,86|79|78|79|80|78|81|106|90,48|51|22|15|20|30|35|58|46,56|65|28|19|25|38|43|55|51,8|16
小ㄐㄐ/小鳥(生殖器),body_parts,身體部位,16,8.702569169960475,8,158,86|79|78|79|80|78|81|106|90,34|43|9|7|9|12|12|14|18,40|54|12|9|11|15|15|13|20,8|16
肚子,body_parts,身體部位,16,16,8,231,86|79|78|79|80|78|81|106|90,27|33|11|9|16|23|26|45|41,31|42|14|11|20|29|32|42|46,8|16
頭髮,body_parts,身體部位,16,16,8,254,86|79|78|79|80|78|81|106|90,30|34|17|13|17|28|24|52|39,35|43|22|16|21|36|30|49|43,8|16
屁股,body_parts,身體部位,16,16,8,206,86|79|78|79|80|78|81|106|90,24|30|12|12|9|20|24|37|38,28|38|15|15|11|26|30|35|42,8|16
牙齒,body_parts,身體部位,16,16,8,181,86|79|78|79|80|78|81|106|90,26|33|7|9|7|11|16|38|34,30|42|9|11|9|14|20|36|38,8|16
臉,body_parts,身體部位,16,16,8,222,86|79|78|79|80|78|81|106|90,29|32|13|13|12|22|28|35|38,34|41|17|16|15|28|35|33|42,8|16
手指(手指頭),body_parts,身體部位,16,16,8,254,86|79|78|79|80|78|81|106|90,36|38|17|16|19|22|27|42|37,42|48|22|20|24|28|33|40|41,8|16
胸部(ㄋㄟㄋㄟ),body_parts,身體部位,16,16,8,258,86|79|78|79|80|78|81|106|90,30|38|17|18|17|31|28|46|33,35|48|22|23|21|40|35|43|37,8|16
肚臍,body_parts,身體部位,16,16,8.488582302568982,152,86|79|78|79|80|78|81|106|90,15|26|7|7|6|17|13|33|28,17|33|9|9|8|22|16|31|31,8|16
舌頭,body_parts,身體部位,16,16,14.863483146067416,136,86|79|78|79|80|78|81|106|90,21|15|7|8|8|14|13|28|22,24|19|9|10|10|18|16|26|24,8|16
眉毛,body_parts,身體部位,16,16,16,78,86|79|78|79|80|78|81|106|90,12|13|2|4|2|8|9|14|14,14|16|3|5|2|10|11|13|16,8|16
脖子,body_parts,身體部位,16,16,16,81,86|79|78|79|80|78|81|106|90,13|10|1|5|4|10|5|17|16,15|13|1|6|5|13|6|16|18,8|16
腳趾頭,body_parts,身體部位,16,16,16,132,86|79|78|79|80|78|81|106|90,19|19|2|12|7|15|13|24|21,22|24|3|15|9|19|16|23|23,8|16
椅子,furniture_rooms,家具/房間,16,8,8,324,86|79|78|79|80|78|81|106|90,50|51|17|20|23|20|33|60|50,58|65|22|25|29|26|41|57|56,8|16
門,furniture_rooms,家具/房間,16,8,8,338,86|79|78|79|80|78|81|106|90,44|53|18|21|26|28|37|62|49,51|67|23|27|32|36|46|58|54,8|16
床,furniture_rooms,家具/房間,16,8,8,329,86|79|78|79|80|78|81|106|90,45|47|23|23|27|21|34|62|47,52|59|29|29|34|27|42|58|52,8|16
桌子,furniture_rooms,家具/房間,16,16,8,244,86|79|78|79|80|78|81|106|90,33|39|14|15|16|14|23|48|42,38|49|18|19|20|18|28|45|47,8|16
廁所,furniture_rooms,家具/房間,16,16,8,203,86|79|78|79|80|78|81|106|90,35|28|9|12|13|20|22|37|27,41|35|12|15|16|26|27|35|30,8|16
窗戶,furniture_rooms,家具/房間,16,16,8,123,86|79|78|79|80|78|81|106|90,22|16|8|8|5|10|11|25|18,26|20|10|10|6|13|14|24|20,8|16
廚房,furniture_rooms,家具/房間,16,16,8,156,86|79|78|79|80|78|81|106|90,22|31|9|12|6|11|11|29|25,26|39|12|15|8|14|14|27|28,8|16
抽屜,furniture_rooms,家具/房間,16,16,8,159,86|79|78|79|80|78|81|106|90,25|27|7|11|11|11|14|29|24,29|34|9|14|14|14|17|27|27,8|16
臥(房)室,furniture_rooms,家具/房間,16,16,8,192,86|79|78|79|80|78|81|106|90,26|32|15|14|13|14|14|34|30,30|41|19|18|16|18|17|32|33,8|16
浴室,furniture_rooms,家具/房間,16,16,8,209,86|79|78|79|80|78|81|106|90,30|33|11|14|16|24|14|36|31,35|42|14|18|20|31|17|34|34,8|16
嬰兒床,furniture_rooms,家具/房間,16,16,8.123824451410659,177,86|79|78|79|80|78|81|106|90,21|23|14|17|15|18|20|25|24,24|29|18|22|19|23|25|24|27,8|16
客廳,furniture_rooms,家具/房間,16,16,8.447016460905349,147,86|79|78|79|80|78|81|106|90,16|26|12|10|8|13|14|28|20,19|33|15|13|10|17|17|26|22,8|16
電梯,furniture_rooms,家具/房間,16,16,8.647540983606557,120,86|79|78|79|80|78|81|106|90,15|23|10|8|8|8|7|20|21,17|29|13|10|10|10|9|19|23,8|16
沙發,furniture_rooms,家具/房間,16,16,16,133,86|79|78|79|80|78|81|106|90,18|19|8|13|8|13|11|24|19,21|24|10|16|10|17|14|23|21,8|16
水槽(洗手檯),furniture_rooms,家具/房間,16,16,16,116,86|79|78|79|80|78|81|106|90,17|17|7|7|9|12|8|20|19,20|22|9|9|11|15|10|19|21,8|16
電話,household,家庭用品,8,8,8,524,86|79|78|79|80|78|81|106|90,71|67|29|41|54|53|56|84|69,83|85|37|52|68|68|69|79|77,8|16
電視,household,家庭用品,8.714716525934861,8,8,401,86|79|78|79|80|78|81|106|90,57|62|26|30|34|35|38|67|52,66|78|33|38|42|45|47|63|58,8|16
杯子,household,家庭用品,16,8,8,265,86|79|78|79|80|78|81|106|90,43|40|16|11|15|15|28|52|45,50|51|21|14|19|19|35|49|50,8|16
湯匙,household,家庭用品,16,8.289908256880734,8,277,86|79|78|79|80|78|81|106|90,41|44|18|17|18|17|25|54|43,48|56|23|22|22|22|31|51|48,8|16
牙刷,household,家庭用品,16,16,8,200,86|79|78|79|80|78|81|106|90,33|34|9|10|8|12|20|40|34,38|43|12|13|10|15|25|38|38,8|16
鑰匙,household,家庭用品,16,16,8,248,86|79|78|79|80|78|81|106|90,41|39|14|13|13|17|27|48|36,48|49|18|16|16|22|33|45|40,8|16
毯子(被子),household,家庭用品,16,16,8,243,86|79|78|79|80|78|81|106|90,35|35|15|14|13|18|26|47|40,41|44|19|18|16|23|32|44|44,8|16
藥,household,家庭用品,16,16,8,203,86|79|78|79|80|78|81|106|90,26|34|12|11|13|19|19|38|31,30|43|15|14|16|24|23|36|34,8|16
碗,household,家庭用品,16,16,8,203,86|79|78|79|80|78|81|106|90,30|36|15|11|10|16|18|35|32,35|46|19|14|12|21|22|33|36,8|16
吸管,household,家庭用品,16,16,8,179,86|79|78|79|80|78|81|106|90,25|35|11|10|12|14|12|32|28,29|44|14|13|15|18|15|30|31,8|16
枕頭,household,家庭用品,16,16,8,222,86|79|78|79|80|78|81|106|90,31|34|11|13|18|17|21|46|31,36|43|14|16|22|22|26|43|34,8|16
眼鏡,household,家庭用品,16,16,8,187,86|79|78|79|80|78|81|106|90,30|27|9|12|13|13|13|39|31,35|34|12|15|16|17|16|37|34,8|16
垃圾桶,household,家庭用品,16,16,8,207,86|79|78|79|80|78|81|106|90,31|37|9|8|12|12|19|44|35,36|47|12|10|15|15|23|42|39,8|16
鏡子,household,家庭用品,16,16,8,194,86|79|78|79|80|78|81|106|90,23|25|9|11|12|19|19|40|36,27|32|12|14|15|24|23|38|40,8|16
梳子,household,家庭用品,16,16,8,191,86|79|78|79|80|78|81|106|90,26|29|7|8|10|18|19|41|33,30|37|9|10|12|23|23|39|37,8|16
紙,household,家庭用品,16,16,8,163,86|79|78|79|80|78|81|106|90,22|19|9|13|13|16|15|30|26,26|24|12|16|16|21|19|28|29,8|16
皮包,household,家庭用品,16,16,8,148,86|79|78|79|80|78|81|106|90,22|19|5|10|8|14|11|34|25,26|24|6|13|10|18|14|32|28,8|16
冰箱,household,家庭用品,16,16,8,209,86|79|78|79|80|78|81|106|90,35|31|8|11|11|19|19|40|35,41|39|10|14|14|24|23|38|39,8|16
垃圾,household,家庭用品,16,16,8.33968058968059,138,86|79|78|79|80|78|81|106|90,18|26|6|8|8|8|10|28|26,21|33|8|10|10|10|12|26|29,8|16
錢,household,家庭用品,16,16,8.497302158273381,133,86|79|78|79|80|78|81|106|90,18|23|4|6|7|15|13|26|21,21|29|5|8|9|19|16|25|23,8|16
毛巾,household,家庭用品,16,16,8.497302158273381,150,86|79|78|79|80|78|81|106|90,18|23|9|12|9|13|7|34|25,21|29|12|15|11|17|9|32|28,8|16
時鐘(鬧鐘),household,家庭用品,16,16,8.497302158273381,146,86|79|78|79|80|78|81|106|90,18|23|5|13|11|11|13|26|26,21|29|6|16|14|14|16|25|29,8|16
筷子,household,家庭用品,16,16,8.647540983606557,120,86|79|78|79|80|78|81|106|90,15|23|7|7|7|7|10|29|15,17|29|9|9|9|9|12|27|17,8|16
圖片,household,家庭用品,16,16,8.874708624708624,113,86|79|78|79|80|78|81|106|90,12|21|8|9|5|11|8|18|21,14|27|10|11|6|14|10|17|23,8|16
掃把,household,家庭用品,16,16,16,101,86|79|78|79|80|78|81|106|90,16|15|5|5|4|7|6|26|17,19|19|6|6|5|9|7|25|19,8|16
肥皂,household,家庭用品,16,16,16,68,86|79|78|79|80|78|81|106|90,8|7|5|6|4|6|2|15|15,9|9|6|8|5|8|2|14|17,8|16
盤子,household,家庭用品,16,16,16,63,86|79|78|79|80|78|81|106|90,8|10|2|7|2|6|3|14|11,9|13|3|9|2|8|4|13|12,8|16
瓶子,household,家庭用品,16,16,16,102,86|79|78|79|80|78|81|106|90,15|17|4|5|5|7|9|24|16,17|22|5|6|6|9|11|23|18,8|16
收音機/音響,household,家庭用品,16,16,16,123,86|79|78|79|80|78|81|106|90,16|17|8|9|6|13|9|24|21,19|22|10|11|8|17|11|23|23,8|16
鍋子,household,家庭用品,16,16,16,53,86|79|78|79|80|78|81|106|90,11|9|2|5|1|5|1|10|9,13|11|3|6|1|6|1|9|10,8|16
盒子,household,家庭用品,16,16,16,78,86|79|78|79|80|78|81|106|90,13|13|5|6|4|6|5|15|11,15|16|6|8|5|8|6|14|12,8|16
銅板(零錢),household,家庭用品,16,16,16,93,86|79|78|79|80|78|81|106|90,13|14|2|7|10|9|8|15|15,15|18|3|9|12|12|10|14|17,8|16
好棒,descriptive_words,描述詞,8.469378427787934,8,8,483,86|79|78|79|80|78|81|106|90,58|66|41|36|46|44|51|75|66,67|84|53|46|57|56|63|71|73,8|16
好燙/燙燙的,descriptive_words,描述詞,16,8,8,323,86|79|78|79|80|78|81|106|90,47|44|22|20|27|28|31|60|44,55|56|28|25|34|36|38|57|49,8|16
好痛/痛痛的,descriptive_words,描述詞,16,8.109116022099448,8,321,86|79|78|79|80|78|81|106|90,42|47|26|23|22|26|31|56|48,49|59|33|29|28|33|38|53|53,8|16
想睡覺,descriptive_words,描述詞,16,8.830486202365309,8,284,86|79|78|79|80|78|81|106|90,35|41|16|25|21|30|29|47|40,41|52|21|32|26|38|36|44|44,8|16
好臭/臭臭的,descriptive_words,描述詞,16,14.917515274949084,8,285,86|79|78|79|80|78|81|106|90,34|35|24|19|17|25|32|54|45,40|44|31|24|21|32|40|51|50,8|16
好熱/熱熱的,descriptive_words,描述詞,16,16,8,227,86|79|78|79|80|78|81|106|90,26|37|11|16|15|23|18|43|38,30|47|14|20|19|29|22|41|42,8|16
髒髒的/骯髒的,descriptive_words,描述詞,16,16,8,192,86|79|78|79|80|78|81|106|90,27|29|13|11|8|16|20|37|31,31|37|17|14|10|21|25|35|34,8|16
害怕的(好恐怖),descriptive_words,描述詞,16,16,8,220,86|79|78|79|80|78|81|106|90,29|29|9|12|15|22|25|45|34,34|37|12|15|19|28|31|42|38,8|16
暗暗的,descriptive_words,描述詞,16,16,8,195,86|79|78|79|80|78|81|106|90,25|30|12|14|15|20|15|35|29,29|38|15|18|19|26|19|33|32,8|16
亮亮的,descriptive_words,描述詞,16,16,8,190,86|79|78|79|80|78|81|106|90,31|25|7|18|14|20|17|30|28,36|32|9|23|18|26|21|28|31,8|16
好可愛/可愛的,descriptive_words,描述詞,16,16,8,247,86|79|78|79|80|78|81|106|90,23|33|21|17|20|24|23|45|41,27|42|27|22|25|31|28|42|46,8|16
好漂亮/漂亮的,descriptive_words,描述詞,16,16,8,222,86|79|78|79|80|78|81|106|90,27|27|13|16|14|24|20|46|35,31|34|17|20|18|31|25|43|39,8|16
很好吃/好吃的,descriptive_words,描述詞,16,16,8,191,86|79|78|79|80|78|81|106|90,26|23|10|13|11|16|23|33|36,30|29|13|16|14|21|28|31|40,8|16
餓了/好餓,descriptive_words,描述詞,16,16,8,186,86|79|78|79|80|78|81|106|90,22|26|10|16|10|19|18|36|29,26|33|13|20|12|24|22|34|32,8|16
小心,descriptive_words,描述詞,16,16,8,174,86|79|78|79|80|78|81|106|90,22|30|11|12|12|14|13|35|25,26|38|14|15|15|18|16|33|28,8|16
不乖,descriptive_words,描述詞,16,16,8,294,86|79|78|79|80|78|81|106|90,41|38|24|19|30|29|25|51|37,48|48|31|24|38|37|31|48|41,8|16
口渴了/好渴,descriptive_words,描述詞,16,16,8.447016460905349,143,86|79|78|79|80|78|81|106|90,16|26|4|14|7|11|17|25|23,19|33|5|18|9|14|21|24|26,8|16
睡著了,descriptive_words,描述詞,16,16,8.691878980891719,113,86|79|78|79|80|78|81|106|90,16|22|6|9|9|10|6|22|13,19|28|8|11|11|13|7|21|14,8|16
破了/破掉了,descriptive_words,描述詞,16,16,8.694142259414226,101,86|79|78|79|80|78|81|106|90,11|24|6|6|4|8|5|19|18,13|30|8|8|5|10|6|18|20,8|16
濕濕的,descriptive_words,描述詞,16,16,8.801660516605166,137,86|79|78|79|80|78|81|106|90,16|21|5|10|6|10|13|29|27,19|27|6|13|8|13|16|27|30,8|16
好高/高高的,descriptive_words,描述詞,16,16,16,90,86|79|78|79|80|78|81|106|90,13|10|3|6|8|7|6|22|15,15|13|4|8|10|9|7|21|17,8|16
好冷/冷冷的,descriptive_words,描述詞,16,16,16,95,86|79|78|79|80|78|81|106|90,8|11|8|9|6|10|9|17|17,9|14|10|11|8|13|11|16|19,8|16
好香/香香的,descriptive_words,描述詞,16,16,16,90,86|79|78|79|80|78|81|106|90,10|13|6|6|7|10|8|16|14,12|16|8|8|9|13|10|15|16,8|16
飽了/好飽,descriptive_words,描述詞,16,16,16,117,86|79|78|79|80|78|81|106|90,15|13|6|10|9|15|9|23|17,17|16|8|13|11|19|11|22|19,8|16
壞的,descriptive_words,描述詞,16,16,16,70,86|79|78|79|80|78|81|106|90,13|8|4|4|4|7|2|13|15,15|10|5|5|5|9|2|12|17,8|16
甜甜的,descriptive_words,描述詞,16,16,16,78,86|79|78|79|80|78|81|106|90,12|13|6|5|7|4|2|14|15,14|16|8|6|9|5|2|13|17,8|16
快樂的/高興的,descriptive_words,描述詞,16,16,16,133,86|79|78|79|80|78|81|106|90,21|12|8|11|9|13|14|24|21,24|15|10|14|11|17|17|23|23,8|16
乾淨的,descriptive_words,描述詞,16,16,16,55,86|79|78|79|80|78|81|106|90,10|4|5|4|3|5|3|13|8,12|5|6|5|4|6|4|12|9,8|16
空空的,descriptive_words,描述詞,16,16,16,112,86|79|78|79|80|78|81|106|90,14|16|7|7|6|11|11|20|20,16|20|9|9|8|14|14|19|22,8|16
這個,quantifiers,數量詞,16,16,8,275,86|79|78|79|80|78|81|106|90,38|37|12|15|20|30|31|50|42,44|47|15|19|25|38|38|47|47,8|16
沒半個/沒有,quantifiers,數量詞,16,16,8,213,86|79|78|79|80|78|81|106|90,31|27|13|14|16|17|22|45|28,36|34|17|18|20|22|27|42|31,8|16
那個,quantifiers,數量詞,16,16,8,178,86|79|78|79|80|78|81|106|90,28|24|10|6|12|19|15|38|26,33|30|13|8|15|24|19|36|29,8|16
一個(二、三個…),quantifiers,數量詞,16,16,14.59008097165992,139,86|79|78|79|80|78|81|106|90,17|17|9|9|3|9|12|34|29,20|22|12|11|4|12|15|32|32,8|16
還有,quantifiers,數量詞,16,16,14.96975354742345,122,86|79|78|79|80|78|81|106|90,14|18|10|6|6|10|8|27|23,16|23|13|8|8|13|10|25|26,8|16
好多,quantifiers,數量詞,16,16,16,82,86|79|78|79|80|78|81|106|90,10|13|7|5|2|6|4|19|16,12|16|9|6|2|8|5|18|18,8|16
過來,locations,位置,8,8,8,555,86|79|78|79|80|78|81|106|90,66|67|40|48|65|59|53|85|72,77|85|51|61|81|76|65|80|80,8|16
在這裡,locations,位置,16,8,8,401,86|79|78|79|80|78|81|106|90,56|52|36|23|36|39|44|69|46,65|66|46|29|45|50|54|65|51,8|16
在那裡,locations,位置,16,8,8,320,86|79|78|79|80|78|81|106|90,51|48|18|18|26|35|31|52|41,59|61|23|23|32|45|38|49|46,8|16
走開,locations,位置,16,16,8,222,86|79|78|79|80|78|81|106|90,32|39|9|10|7|22|25|44|34,37|49|12|13|9|28|31|42|38,8|16
前面,locations,位置,16,16,8.169527896995708,133,86|79|78|79|80|78|81|106|90,21|22|6|8|6|14|14|25|17,24|28|8|10|8|18|17|24|19,8|16
外面,locations,位置,16,16,8.488582302568982,127,86|79|78|79|80|78|81|106|90,15|26|5|8|7|12|10|27|17,17|33|6|10|9|15|12|25|19,8|16
後面,locations,位置,16,16,8.588297872340426,129,86|79|78|79|80|78|81|106|90,18|22|8|9|6|11|13|27|15,21|28|10|11|8|14|16|25|17,8|16
裡面,locations,位置,16,16,8.647540983606557,119,86|79|78|79|80|78|81|106|90,19|21|7|5|7|10|11|22|17,22|27|9|6|9|13|14|21|19,8|16
到…某個地方,locations,位置,16,16,14.70031712473573,133,86|79|78|79|80|78|81|106|90,20|17|9|9|6|9|14|30|19,23|22|12|11|8|12|17|28|21,8|16
在…前面,locations,位置,16,16,16,79,86|79|78|79|80|78|81|106|90,12|12|4|6|2|5|6|22|10,14|15|5|8|2|6|7|21|11,8|16
在…外面,locations,位置,16,16,16,86,86|79|78|79|80|78|81|106|90,12|14|6|6|5|4|7|21|11,14|18|8|8|6|5|9|20|12,8|16
家,places,地點,16,16,8,216,86|79|78|79|80|78|81|106|90,32|28|14|14|15|20|24|42|27,37|35|18|18|19|26|30|40|30,8|16
公園,places,地點,16,16,8.080448065173115,133,86|79|78|79|80|78|81|106|90,21|25|10|13|5|10|8|21|20,24|32|13|16|6|13|10|20|22,8|16
房子,places,地點,16,16,16,78,86|79|78|79|80|78|81|106|90,11|15|4|6|2|6|7|13|14,13|19|5|8|2|8|9|12|16,8|16
等一下,time_words,時間詞,16,8,8,340,86|79|78|79|80|78|81|106|90,43|55|31|27|28|29|29|54|44,50|70|40|34|35|37|36|51|49,8|16
完了(結束的意思),time_words,時間詞,16,8.44950213371266,8,290,86|79|78|79|80|78|81|106|90,39|44|19|14|17|29|31|56|41,45|56|24|18|21|37|38|53|46,8|16
晚上,time_words,時間詞,16,16,8.55984251968504,127,86|79|78|79|80|78|81|106|90,17|23|8|12|3|11|9|26|18,20|29|10|15|4|14|11|25|20,8|16
開始,time_words,時間詞,16,16,16,102,86|79|78|79|80|78|81|106|90,15|18|6|8|4|8|5|20|18,17|23|8|10|5|10|6|19|20,8|16
哪裡？,question_words,疑問詞,16,16,8,230,86|79|78|79|80|78|81|106|90,35|30|13|14|17|26|21|40|34,41|38|17|18|21|33|26|38|38,8|16
誰？,question_words,疑問詞,16,16,8,201,86|79|78|79|80|78|81|106|90,31|27|17|12|12|24|14|32|32,36|34|22|15|15|31|17|30|36,8|16
咦？,question_words,疑問詞,16,16,8,222,86|79|78|79|80|78|81|106|90,29|25|16|17|15|23|19|38|40,34|32|21|22|19|29|23|36|44,8|16
什麼？,question_words,疑問詞,16,16,16,101,86|79|78|79|80|78|81|106|90,16|15|8|5|3|9|3|24|18,19|19|10|6|4|12|4|23|20,8|16
哪一個？,question_words,疑問詞,16,16,16,115,86|79|78|79|80|78|81|106|90,18|19|9|7|5|11|5|21|20,21|24|12|9|6|14|6|20|22,8|16
怎麼(辦)？,question_words,疑問詞,16,16,16,106,86|79|78|79|80|78|81|106|90,13|18|9|10|9|9|10|17|11,15|23|12|13|11|12|12|16|12,8|16
