ID,item.WG,item.WS,definition,category,age.75,age.50,age.25,age_rng,age.75.m,age.50.m,age.25.m,D,bin
213,d11_02,a12_02,媽媽/媽咪,people,8,8,8,8|16,5.758084991666666,0.6862950463583334,-4.385494581666666,0.21782585916666666,12~18
212,d11_01,a12_01,爸爸/爹地,people,8,8,8,8|16,6.785412458333333,0.6895075351,-5.406397433333334,0.1812634325,12~18
223,d11_12,a12_12,自己的名字,people,8,8,8,8|16,9.442223633333333,1.075337079,-7.291549525,0.13249317666666666,12~18
215,d11_04,a12_04,奶奶,people,16,8,8,8|16,51.44916333333333,3.8456382731666667,-43.75788935833333,0.027344571585833335,12~18
190,d10_01,a11_01,再見(byebye),games_routines,8,8,8,8|16,8.190936758333333,0.8191205004083333,-6.552695708333333,0.14995975833333333,12~18
210,d10_21,a11_21,拍拍手,games_routines,8,8,8,8|16,11.148941641666667,1.067837216225,-9.013269025,0.11007446833333333,12~18
200,d10_11,a11_11,換尿布,games_routines,14.723307291666666,8,8,8|16,18.327033083333333,2.222645770116667,-13.881741316666666,0.07014209041666666,12~18
195,d10_06,a11_06,洗澡,games_routines,8.747603833865815,8,8,8|16,24.8117405,2.969246595,-18.87324801666667,0.052976613166666665,12~18
192,d10_03,a11_03,睡覺,games_routines,9,8,8,8|16,25.308357833333332,2.970336296933333,-19.36768633333333,0.051953541666666665,12~18
194,d10_05,a11_05,吃飯,games_routines,8.159574468085106,8,8,8|16,41.32060391666667,3.1672805835833335,-34.98604160833333,0.032190413041666664,12~18
191,d10_02,a11_02,謝謝,games_routines,8.587467362924281,8,8,8|16,591.329399,9.971211162583334,-571.387333775,0.013715259298891667,12~18
266,d14_12,a15_12,拍(手),action_words,8,8,8,8|16,10.437947758333333,0.7944860592166667,-8.848974616666666,0.11471507366666667,12~18
255,d14_01,a15_01,抱(抱),action_words,8,8,8,8|16,5.665329166666667,0.965912819725,-3.733503509166667,0.23544270333333334,12~18
256,d14_02,a15_02,吃,action_words,8,8,8,8|16,11.378489025,1.26878845225,-8.840912558333333,0.10989895608333333,12~18
257,d14_03,a15_03,不要,action_words,8,8,8,8|16,22.561585833333332,1.8507496176666667,-18.860087425,0.05456706308333333,12~18
275,d14_21,a15_21,來,action_words,8,8,8,8|16,19.283449666666666,1.9645391888333332,-15.3543704,0.06521472666666667,12~18
287,d14_33,a15_33,不可以/不行,action_words,8.04358353510896,8,8,8|16,20.708184833333334,1.994167582925,-16.719849725,0.060364018916666665,12~18
276,d14_22,a15_22,親,action_words,8.44865403788634,8,8,8|16,58.41054208333333,4.296350479833333,-49.81783835,0.025357227416666666,12~18
261,d14_07,a15_07,走/散步,action_words,8.487012987012987,8,8,8|16,51.86081541666667,5.412174171666667,-41.03646645833334,0.030529558259166666,12~18
264,d14_10,a15_10,喝,action_words,16,8,8,8|16,1119.1625403333333,8.427843715833333,-1102.3067353333333,0.019701815735933333,12~18
263,d14_09,a15_09,坐,action_words,8.868552412645592,8,8,8|16,2186.677714,11.218948852416666,-2164.2398756416665,0.012915084592616666,12~18
